"","Year","Month","SettlementPoint","AveragePrice"
"197",2017,3,"HB_BUSAVG",22.5698923283984
"198",2017,3,"HB_HOUSTON",28.2132974427995
"199",2017,3,"HB_HUBAVG",23.2332301480485
"200",2017,3,"HB_NORTH",21.2277792732167
"201",2017,3,"HB_SOUTH",23.6807537012113
"202",2017,3,"HB_WEST",19.8135935397039
"203",2017,3,"LZ_AEN",22.9970121130552
"204",2017,3,"LZ_CPS",23.8615477792732
"205",2017,3,"LZ_HOUSTON",28.7420053835801
"206",2017,3,"LZ_LCRA",23.437133243607
"207",2017,3,"LZ_NORTH",21.8394078061911
"208",2017,3,"LZ_RAYBN",21.9071601615074
"209",2017,3,"LZ_SOUTH",26.5282099596232
"210",2017,3,"LZ_WEST",20.251197846568
"211",2017,4,"HB_BUSAVG",23.7050833333333
"212",2017,4,"HB_HOUSTON",32.2957361111111
"213",2017,4,"HB_HUBAVG",24.8304861111111
"214",2017,4,"HB_NORTH",21.4105555555556
"215",2017,4,"HB_SOUTH",25.6094027777778
"216",2017,4,"HB_WEST",19.9960972222222
"217",2017,4,"LZ_AEN",24.1180833333333
"218",2017,4,"LZ_CPS",25.3379027777778
"219",2017,4,"LZ_HOUSTON",32.9670694444444
"220",2017,4,"LZ_LCRA",24.4774166666667
"221",2017,4,"LZ_NORTH",21.9758055555556
"222",2017,4,"LZ_RAYBN",22.2134305555556
"223",2017,4,"LZ_SOUTH",28.5498888888889
"224",2017,4,"LZ_WEST",20.3885694444444
"225",2017,5,"HB_BUSAVG",25.0873521505376
"226",2017,5,"HB_HOUSTON",31.5331720430108
"227",2017,5,"HB_HUBAVG",25.9050268817204
"228",2017,5,"HB_NORTH",23.4199193548387
"229",2017,5,"HB_SOUTH",26.4950134408602
"230",2017,5,"HB_WEST",22.1666129032258
"231",2017,5,"LZ_AEN",25.2938440860215
"232",2017,5,"LZ_CPS",26.5370295698925
"233",2017,5,"LZ_HOUSTON",32.3626478494624
"234",2017,5,"LZ_LCRA",25.6379569892473
"235",2017,5,"LZ_NORTH",24.5575134408602
"236",2017,5,"LZ_RAYBN",24.0013306451613
"237",2017,5,"LZ_SOUTH",29.9797311827957
"238",2017,5,"LZ_WEST",22.8677956989247
"239",2017,6,"HB_BUSAVG",27.6691527777778
"240",2017,6,"HB_HOUSTON",33.1683472222222
"241",2017,6,"HB_HUBAVG",28.5138472222222
"242",2017,6,"HB_NORTH",25.8905694444444
"243",2017,6,"HB_SOUTH",29.6546944444444
"244",2017,6,"HB_WEST",25.3316944444444
"245",2017,6,"LZ_AEN",27.9166388888889
"246",2017,6,"LZ_CPS",30.416
"247",2017,6,"LZ_HOUSTON",33.6689166666667
"248",2017,6,"LZ_LCRA",28.6390833333333
"249",2017,6,"LZ_NORTH",26.8937361111111
"250",2017,6,"LZ_RAYBN",26.1250416666667
"251",2017,6,"LZ_SOUTH",36.7834444444444
"252",2017,6,"LZ_WEST",27.5123194444444
"253",2017,7,"HB_BUSAVG",31.4542741935484
"254",2017,7,"HB_HOUSTON",34.3758333333333
"255",2017,7,"HB_HUBAVG",31.8644086021505
"256",2017,7,"HB_NORTH",30.654314516129
"257",2017,7,"HB_SOUTH",32.1294623655914
"258",2017,7,"HB_WEST",30.2936424731183
"259",2017,7,"LZ_AEN",31.401438172043
"260",2017,7,"LZ_CPS",32.1152956989247
"261",2017,7,"LZ_HOUSTON",34.7258333333333
"262",2017,7,"LZ_LCRA",31.9057123655914
"263",2017,7,"LZ_NORTH",31.1868413978495
"264",2017,7,"LZ_RAYBN",30.760497311828
"265",2017,7,"LZ_SOUTH",34.1932930107527
"266",2017,7,"LZ_WEST",31.1301747311828
"267",2017,8,"HB_BUSAVG",27.5070161290323
"268",2017,8,"HB_HOUSTON",29.4017204301075
"269",2017,8,"HB_HUBAVG",27.8386155913979
"270",2017,8,"HB_NORTH",26.8327284946237
"271",2017,8,"HB_SOUTH",28.3150268817204
"272",2017,8,"HB_WEST",26.8170430107527
"273",2017,8,"LZ_AEN",27.4656182795699
"274",2017,8,"LZ_CPS",28.1375672043011
"275",2017,8,"LZ_HOUSTON",30.0314784946237
"276",2017,8,"LZ_LCRA",27.6780107526882
"277",2017,8,"LZ_NORTH",27.0603629032258
"278",2017,8,"LZ_RAYBN",26.8248252688172
"279",2017,8,"LZ_SOUTH",33.4578494623656
"280",2017,8,"LZ_WEST",27.2139112903226
"281",2017,9,"HB_BUSAVG",24.1841666666667
"282",2017,9,"HB_HOUSTON",26.5429444444444
"283",2017,9,"HB_HUBAVG",24.5196944444444
"284",2017,9,"HB_NORTH",23.3461111111111
"285",2017,9,"HB_SOUTH",25.5150972222222
"286",2017,9,"HB_WEST",22.6788194444444
"287",2017,9,"LZ_AEN",24.6288055555556
"288",2017,9,"LZ_CPS",25.1366527777778
"289",2017,9,"LZ_HOUSTON",27.4100277777778
"290",2017,9,"LZ_LCRA",24.8134305555556
"291",2017,9,"LZ_NORTH",23.9684027777778
"292",2017,9,"LZ_RAYBN",23.5356805555556
"293",2017,9,"LZ_SOUTH",28.3303472222222
"294",2017,9,"LZ_WEST",27.0117777777778
"295",2017,10,"HB_BUSAVG",23.5632795698925
"296",2017,10,"HB_HOUSTON",30.1412365591398
"297",2017,10,"HB_HUBAVG",24.7014516129032
"298",2017,10,"HB_NORTH",21.4059005376344
"299",2017,10,"HB_SOUTH",25.5636559139785
"300",2017,10,"HB_WEST",21.6938306451613
"301",2017,10,"LZ_AEN",24.0199059139785
"302",2017,10,"LZ_CPS",25.2759543010753
"303",2017,10,"LZ_HOUSTON",31.3393817204301
"304",2017,10,"LZ_LCRA",24.4842607526882
"305",2017,10,"LZ_NORTH",21.9384274193548
